,esg count,esg average,Adm1Code,quarter,year
0,260,6.190476190476191,BR,1,2015
1,739,8.21111111111111,BR,2,2015
2,714,7.933333333333334,BR,3,2015
3,797,8.955056179775282,BR,4,2015
4,759,8.340659340659341,BR,1,2016
5,1018,11.186813186813186,BR,2,2016
6,918,9.978260869565217,BR,3,2016
7,934,10.152173913043478,BR,4,2016
8,933,10.366666666666667,BR,1,2017
9,1005,11.166666666666666,BR,2,2017
10,718,7.977777777777778,BR,3,2017
11,97,6.928571428571429,BR,4,2017
12,1,1.0,BR00,1,2015
13,1,1.0,BR00,2,2015
14,9,1.5,BR00,3,2015
15,5,1.6666666666666667,BR00,4,2015
16,3,1.0,BR00,2,2016
17,1,1.0,BR00,3,2016
18,1,1.0,BR00,4,2016
19,30,2.5,BR00,1,2017
20,6,1.2,BR00,2,2017
21,21,1.75,BR00,3,2017
22,2,1.0,BR00,4,2017
23,3,1.0,BR01,1,2015
24,6,1.0,BR01,2,2015
25,39,1.7727272727272727,BR01,4,2015
26,5,1.6666666666666667,BR01,1,2016
27,8,1.1428571428571428,BR01,2,2016
28,5,1.0,BR01,3,2016
29,11,1.375,BR01,4,2016
30,4,1.3333333333333333,BR01,1,2017
31,6,2.0,BR01,2,2017
32,3,1.0,BR01,3,2017
33,7,1.4,BR02,1,2015
34,3,1.0,BR02,2,2015
35,6,1.0,BR02,3,2015
36,7,1.0,BR02,4,2015
37,1,1.0,BR02,1,2016
38,19,1.1875,BR02,2,2016
39,23,1.15,BR02,3,2016
40,9,1.0,BR02,4,2016
41,15,1.3636363636363635,BR02,1,2017
42,24,1.6,BR02,2,2017
43,11,1.5714285714285714,BR02,3,2017
44,1,1.0,BR03,1,2015
45,2,1.0,BR03,2,2015
46,2,1.0,BR03,3,2015
47,3,1.0,BR03,4,2015
48,1,1.0,BR03,1,2016
49,1,1.0,BR03,2,2016
50,4,4.0,BR03,3,2016
51,4,1.3333333333333333,BR03,1,2017
52,5,1.0,BR03,2,2017
53,11,1.2222222222222223,BR04,1,2015
54,37,1.608695652173913,BR04,2,2015
55,42,1.3125,BR04,3,2015
56,35,1.5909090909090908,BR04,4,2015
57,36,1.2857142857142858,BR04,1,2016
58,50,1.2820512820512822,BR04,2,2016
59,56,1.6470588235294117,BR04,3,2016
60,53,1.4722222222222223,BR04,4,2016
61,54,1.542857142857143,BR04,1,2017
62,54,1.6363636363636365,BR04,2,2017
63,39,1.6956521739130435,BR04,3,2017
64,3,1.5,BR04,4,2017
65,25,1.4705882352941178,BR05,1,2015
66,51,1.5454545454545454,BR05,2,2015
67,70,1.6666666666666667,BR05,3,2015
68,55,1.4473684210526316,BR05,4,2015
69,71,1.7317073170731707,BR05,1,2016
70,80,1.951219512195122,BR05,2,2016
71,77,1.925,BR05,3,2016
72,49,1.6333333333333333,BR05,4,2016
