,pol count,pol average,Adm1Code,quarter,year
0,926,17.807692307692307,BR,1,2015
1,1512,16.615384615384617,BR,2,2015
2,1383,15.032608695652174,BR,3,2015
3,1448,15.73913043478261,BR,4,2015
4,2005,22.032967032967033,BR,1,2016
5,3033,33.32967032967033,BR,2,2016
6,2821,30.66304347826087,BR,3,2016
7,2361,25.66304347826087,BR,4,2016
8,2620,29.11111111111111,BR,1,2017
9,2673,29.373626373626372,BR,2,2017
10,2489,27.35164835164835,BR,3,2017
11,368,26.285714285714285,BR,4,2017
12,3,1.0,BR00,1,2015
13,11,1.375,BR00,2,2015
14,3,1.0,BR00,3,2015
15,1,1.0,BR00,4,2015
16,3,1.0,BR00,1,2016
17,5,1.6666666666666667,BR00,2,2016
18,12,1.3333333333333333,BR00,3,2016
19,10,1.6666666666666667,BR00,4,2016
20,12,1.2,BR00,1,2017
21,10,1.6666666666666667,BR00,2,2017
22,16,1.7777777777777777,BR00,3,2017
23,1,1.0,BR00,4,2017
24,7,1.1666666666666667,BR01,1,2015
25,17,1.8888888888888888,BR01,2,2015
26,9,1.0,BR01,3,2015
27,34,1.7894736842105263,BR01,4,2015
28,50,3.125,BR01,1,2016
29,21,1.75,BR01,2,2016
30,28,3.111111111111111,BR01,3,2016
31,21,2.3333333333333335,BR01,4,2016
32,36,2.5714285714285716,BR01,1,2017
33,6,1.0,BR01,2,2017
34,15,1.6666666666666667,BR01,3,2017
35,4,4.0,BR01,4,2017
36,11,2.2,BR02,1,2015
37,13,1.3,BR02,2,2015
38,25,1.3157894736842106,BR02,3,2015
39,9,1.125,BR02,4,2015
40,23,1.9166666666666667,BR02,1,2016
41,52,1.7333333333333334,BR02,2,2016
42,38,1.2258064516129032,BR02,3,2016
43,29,1.380952380952381,BR02,4,2016
44,31,1.2916666666666667,BR02,1,2017
45,18,1.5,BR02,2,2017
46,25,1.3888888888888888,BR02,3,2017
47,4,1.0,BR02,4,2017
48,2,1.0,BR03,2,2015
49,2,1.0,BR03,3,2015
50,1,1.0,BR03,4,2015
51,4,1.0,BR03,1,2016
52,5,1.6666666666666667,BR03,2,2016
53,2,1.0,BR03,3,2016
54,14,2.0,BR03,4,2016
55,21,1.75,BR03,1,2017
56,18,2.25,BR03,2,2017
57,5,1.0,BR03,3,2017
58,28,1.3333333333333333,BR04,1,2015
59,70,1.6666666666666667,BR04,2,2015
60,95,1.7924528301886793,BR04,3,2015
61,79,1.7555555555555555,BR04,4,2015
62,83,1.8444444444444446,BR04,1,2016
63,147,2.3333333333333335,BR04,2,2016
64,141,2.4310344827586206,BR04,3,2016
65,108,2.076923076923077,BR04,4,2016
66,403,5.597222222222222,BR04,1,2017
67,149,2.6607142857142856,BR04,2,2017
68,159,2.789473684210526,BR04,3,2017
69,17,1.7,BR04,4,2017
70,50,2.272727272727273,BR05,1,2015
71,86,2.0,BR05,2,2015
72,146,2.7547169811320753,BR05,3,2015
73,135,2.1774193548387095,BR05,4,2015
74,150,2.7777777777777777,BR05,1,2016
75,146,2.5172413793103448,BR05,2,2016
76,138,2.6538461538461537,BR05,3,2016
77,136,2.3448275862068964,BR05,4,2016
78,231,3.6666666666666665,BR05,1,2017
79,90,2.0454545454545454,BR05,2,2017
80,116,2.230769230769231,BR05,3,2017
81,18,2.25,BR05,4,2017
82,12,1.7142857142857142,BR06,1,2015
83,30,2.0,BR06,2,2015
84,29,2.0714285714285716,BR06,3,2015
85,29,1.3181818181818181,BR06,4,2015
86,19,1.2666666666666666,BR06,1,2016
87,35,1.5909090909090908,BR06,2,2016
88,44,1.6296296296296295,BR06,3,2016
89,39,1.625,BR06,4,2016
90,48,1.92,BR06,1,2017
91,33,1.375,BR06,2,2017
92,37,1.608695652173913,BR06,3,2017
93,8,2.6666666666666665,BR06,4,2017
94,234,5.7073170731707314,BR07,1,2015
95,335,4.35064935064935,BR07,2,2015
96,474,5.780487804878049,BR07,3,2015
97,506,6.096385542168675,BR07,4,2015
98,419,5.5131578947368425,BR07,1,2016
99,812,9.022222222222222,BR07,2,2016
100,663,7.8,BR07,3,2016
101,629,7.4,BR07,4,2016
102,387,4.552941176470588,BR07,1,2017
103,552,6.4186046511627906,BR07,2,2017
104,601,6.988372093023256,BR07,3,2017
105,115,8.214285714285714,BR07,4,2017
106,6,1.5,BR08,1,2015
107,31,3.875,BR08,2,2015
108,20,1.5384615384615385,BR08,3,2015
109,14,1.4,BR08,4,2015
110,12,1.5,BR08,1,2016
111,33,1.736842105263158,BR08,2,2016
112,19,1.7272727272727273,BR08,3,2016
113,8,1.1428571428571428,BR08,4,2016
114,37,1.85,BR08,1,2017
115,16,1.3333333333333333,BR08,2,2017
116,38,2.111111111111111,BR08,3,2017
117,8,1.3333333333333333,BR08,4,2017
118,6,1.0,BR11,1,2015
119,28,1.6470588235294117,BR11,2,2015
120,27,1.125,BR11,3,2015
121,41,1.5185185185185186,BR11,4,2015
122,18,1.5,BR11,1,2016
123,62,1.7714285714285714,BR11,2,2016
124,46,1.9166666666666667,BR11,3,2016
125,26,1.368421052631579,BR11,4,2016
126,43,2.263157894736842,BR11,1,2017
127,49,1.8148148148148149,BR11,2,2017
128,40,1.6666666666666667,BR11,3,2017
129,6,1.2,BR11,4,2017
130,13,1.4444444444444444,BR13,1,2015
131,60,2.0689655172413794,BR13,2,2015
132,82,1.8636363636363635,BR13,3,2015
133,65,1.5116279069767442,BR13,4,2015
134,48,1.6,BR13,1,2016
135,91,1.9782608695652173,BR13,2,2016
136,86,1.7916666666666667,BR13,3,2016
137,105,2.142857142857143,BR13,4,2016
138,81,1.975609756097561,BR13,1,2017
139,97,1.9019607843137254,BR13,2,2017
140,64,1.8823529411764706,BR13,3,2017
141,9,1.5,BR13,4,2017
142,28,1.6470588235294117,BR14,1,2015
143,40,1.7391304347826086,BR14,2,2015
144,43,1.4333333333333333,BR14,3,2015
145,37,1.5416666666666667,BR14,4,2015
146,28,1.2173913043478262,BR14,1,2016
147,101,2.1956521739130435,BR14,2,2016
148,100,1.8181818181818181,BR14,3,2016
149,74,1.9473684210526316,BR14,4,2016
150,55,1.8333333333333333,BR14,1,2017
151,83,1.9761904761904763,BR14,2,2017
152,65,2.03125,BR14,3,2017
153,12,2.0,BR14,4,2017
154,19,1.2666666666666666,BR15,1,2015
155,128,2.782608695652174,BR15,2,2015
156,163,3.26,BR15,3,2015
157,122,2.489795918367347,BR15,4,2015
158,119,2.3333333333333335,BR15,1,2016
159,301,4.777777777777778,BR15,2,2016
160,132,2.4444444444444446,BR15,3,2016
161,117,2.4375,BR15,4,2016
162,111,2.1346153846153846,BR15,1,2017
163,99,2.2,BR15,2,2017
164,116,2.0714285714285716,BR15,3,2017
165,46,4.181818181818182,BR15,4,2017
166,10,1.25,BR16,1,2015
167,32,1.5238095238095237,BR16,2,2015
168,138,4.928571428571429,BR16,3,2015
169,35,2.1875,BR16,4,2015
170,53,2.2083333333333335,BR16,1,2016
171,144,4.235294117647059,BR16,2,2016
172,44,2.0,BR16,3,2016
173,56,2.24,BR16,4,2016
174,58,2.0714285714285716,BR16,1,2017
175,70,2.2580645161290325,BR16,2,2017
176,40,1.6666666666666667,BR16,3,2017
177,7,1.4,BR16,4,2017
178,4,2.0,BR17,1,2015
179,17,1.7,BR17,2,2015
180,18,1.2857142857142858,BR17,3,2015
181,24,1.8461538461538463,BR17,4,2015
182,16,2.0,BR17,1,2016
183,36,1.44,BR17,2,2016
184,40,1.6,BR17,3,2016
185,26,2.1666666666666665,BR17,4,2016
186,15,1.25,BR17,1,2017
187,17,1.7,BR17,2,2017
188,19,1.1875,BR17,3,2017
189,5,2.5,BR17,4,2017
190,135,3.9705882352941178,BR18,1,2015
191,447,5.881578947368421,BR18,2,2015
192,488,6.594594594594595,BR18,3,2015
193,260,3.7142857142857144,BR18,4,2015
194,356,4.564102564102564,BR18,1,2016
195,472,5.827160493827161,BR18,2,2016
196,467,5.987179487179487,BR18,3,2016
197,428,5.156626506024097,BR18,4,2016
198,357,4.636363636363637,BR18,1,2017
199,442,5.1395348837209305,BR18,2,2017
200,374,4.857142857142857,BR18,3,2017
201,46,3.5384615384615383,BR18,4,2017
202,7,1.4,BR20,1,2015
203,58,2.0,BR20,2,2015
204,70,2.413793103448276,BR20,3,2015
205,20,1.4285714285714286,BR20,4,2015
206,21,1.3125,BR20,1,2016
207,65,2.3214285714285716,BR20,2,2016
208,50,2.1739130434782608,BR20,3,2016
209,37,1.7619047619047619,BR20,4,2016
210,24,1.8461538461538463,BR20,1,2017
211,43,2.0476190476190474,BR20,2,2017
212,45,2.142857142857143,BR20,3,2017
213,11,2.2,BR20,4,2017
214,226,5.947368421052632,BR21,1,2015
215,320,4.923076923076923,BR21,2,2015
