,esg count,esg average,Adm1Code,quarter,year
0,132,3.473684210526316,IR,1,2015
1,230,3.1506849315068495,IR,2,2015
2,342,3.9310344827586206,IR,3,2015
3,235,2.9012345679012346,IR,4,2015
4,325,3.869047619047619,IR,1,2016
5,334,3.883720930232558,IR,2,2016
6,324,3.857142857142857,IR,3,2016
7,272,3.317073170731707,IR,4,2016
8,294,3.92,IR,1,2017
9,247,3.25,IR,2,2017
10,192,2.6666666666666665,IR,3,2017
11,28,3.5,IR,4,2017
12,3,1.5,IR00,1,2015
13,9,1.125,IR00,2,2015
14,10,1.4285714285714286,IR00,3,2015
15,1,1.0,IR00,4,2015
16,14,1.4,IR00,1,2016
17,24,1.5,IR00,2,2016
18,10,1.0,IR00,3,2016
19,10,1.1111111111111112,IR00,4,2016
20,14,1.5555555555555556,IR00,1,2017
21,7,1.0,IR00,2,2017
22,5,1.6666666666666667,IR00,3,2017
23,1,1.0,IR00,4,2017
24,1,1.0,IR01,1,2015
25,17,1.4166666666666667,IR01,2,2015
26,8,1.3333333333333333,IR01,3,2015
27,2,2.0,IR01,4,2015
28,1,1.0,IR01,1,2016
29,10,1.4285714285714286,IR01,2,2016
30,6,1.5,IR01,3,2016
31,6,1.5,IR01,4,2016
32,4,1.0,IR01,1,2017
33,3,1.0,IR01,2,2017
34,4,1.0,IR01,3,2017
35,1,1.0,IR01,4,2017
36,1,1.0,IR03,2,2015
37,2,2.0,IR03,3,2015
38,5,1.25,IR03,1,2016
39,5,1.6666666666666667,IR03,3,2016
40,1,1.0,IR03,1,2017
41,3,1.5,IR04,1,2015
42,12,1.3333333333333333,IR04,2,2015
43,13,1.3,IR04,3,2015
44,9,1.5,IR04,4,2015
45,16,1.2307692307692308,IR04,1,2016
46,21,1.75,IR04,2,2016
47,11,1.1,IR04,3,2016
48,4,1.3333333333333333,IR04,4,2016
49,2,1.0,IR04,1,2017
50,3,1.0,IR04,2,2017
51,7,1.1666666666666667,IR04,3,2017
52,2,2.0,IR05,1,2015
53,5,2.5,IR05,2,2015
54,3,1.0,IR05,3,2015
55,1,1.0,IR05,4,2015
56,1,1.0,IR05,1,2016
57,4,2.0,IR05,2,2016
58,6,1.2,IR05,3,2016
59,1,1.0,IR05,4,2016
60,4,1.3333333333333333,IR05,2,2017
61,1,1.0,IR05,4,2017
62,5,2.5,IR07,1,2015
63,19,1.4615384615384615,IR07,2,2015
64,16,1.2307692307692308,IR07,3,2015
65,4,1.3333333333333333,IR07,4,2015
66,13,1.3,IR07,1,2016
67,19,1.3571428571428572,IR07,2,2016
68,19,1.3571428571428572,IR07,3,2016
69,16,1.6,IR07,4,2016
70,7,1.4,IR07,1,2017
71,13,1.3,IR07,2,2017
72,5,1.6666666666666667,IR07,3,2017
73,5,1.6666666666666667,IR07,4,2017
74,1,1.0,IR08,2,2015
75,13,1.4444444444444444,IR08,3,2015
76,3,1.0,IR08,4,2015
77,6,1.5,IR08,1,2016
78,5,1.25,IR08,2,2016
79,1,1.0,IR08,3,2016
80,1,1.0,IR08,4,2016
81,6,1.0,IR08,1,2017
82,2,2.0,IR08,2,2017
83,2,1.0,IR08,3,2017
84,2,1.0,IR09,3,2015
85,8,2.0,IR09,1,2016
86,3,1.0,IR09,2,2016
87,8,1.3333333333333333,IR09,3,2016
88,6,2.0,IR09,4,2016
89,2,2.0,IR09,1,2017
90,1,1.0,IR09,2,2017
91,1,1.0,IR10,2,2015
92,1,1.0,IR10,3,2015
93,1,1.0,IR10,4,2015
