,pol count,pol average,Adm1Code,quarter,year
0,1186,22.807692307692307,IR,1,2015
1,2549,28.01098901098901,IR,2,2015
2,2725,29.619565217391305,IR,3,2015
3,2557,27.793478260869566,IR,4,2015
4,3557,39.08791208791209,IR,1,2016
5,2547,27.98901098901099,IR,2,2016
6,2857,31.054347826086957,IR,3,2016
7,2607,28.33695652173913,IR,4,2016
8,2691,29.9,IR,1,2017
9,2078,22.835164835164836,IR,2,2017
10,2211,24.296703296703296,IR,3,2017
11,259,18.5,IR,4,2017
12,50,1.7857142857142858,IR00,1,2015
13,135,2.6470588235294117,IR00,2,2015
14,128,2.5098039215686274,IR00,3,2015
15,191,3.293103448275862,IR00,4,2015
16,357,5.578125,IR00,1,2016
17,121,2.326923076923077,IR00,2,2016
18,192,3.2,IR00,3,2016
19,156,2.8363636363636364,IR00,4,2016
20,134,2.5283018867924527,IR00,1,2017
21,176,3.6666666666666665,IR00,2,2017
22,152,3.3777777777777778,IR00,3,2017
23,14,2.3333333333333335,IR00,4,2017
24,62,3.1,IR01,1,2015
25,271,5.211538461538462,IR01,2,2015
26,74,2.642857142857143,IR01,3,2015
27,66,1.8857142857142857,IR01,4,2015
28,102,3.2903225806451615,IR01,1,2016
29,67,2.09375,IR01,2,2016
30,122,3.4857142857142858,IR01,3,2016
31,87,2.1219512195121952,IR01,4,2016
32,83,2.2432432432432434,IR01,1,2017
33,27,1.9285714285714286,IR01,2,2017
34,38,2.0,IR01,3,2017
35,3,1.5,IR01,4,2017
36,3,1.5,IR03,1,2015
37,3,1.5,IR03,2,2015
38,4,1.3333333333333333,IR03,3,2015
39,1,1.0,IR03,4,2015
40,7,2.3333333333333335,IR03,1,2016
41,5,1.25,IR03,2,2016
42,6,1.0,IR03,3,2016
43,3,3.0,IR03,4,2016
44,4,1.3333333333333333,IR03,1,2017
45,3,1.5,IR03,2,2017
46,8,2.0,IR03,3,2017
47,64,2.2857142857142856,IR04,1,2015
48,195,3.4210526315789473,IR04,2,2015
49,134,3.526315789473684,IR04,3,2015
50,155,2.980769230769231,IR04,4,2015
51,166,3.2549019607843137,IR04,1,2016
52,186,3.263157894736842,IR04,2,2016
53,204,3.709090909090909,IR04,3,2016
54,131,2.673469387755102,IR04,4,2016
55,72,1.8,IR04,1,2017
56,191,3.537037037037037,IR04,2,2017
57,112,2.5454545454545454,IR04,3,2017
58,13,1.8571428571428572,IR04,4,2017
59,1,1.0,IR05,1,2015
60,6,1.2,IR05,2,2015
61,23,2.5555555555555554,IR05,3,2015
62,26,2.6,IR05,4,2015
63,19,1.7272727272727273,IR05,1,2016
64,18,1.3846153846153846,IR05,2,2016
65,33,4.125,IR05,3,2016
66,30,1.7647058823529411,IR05,4,2016
67,8,1.1428571428571428,IR05,1,2017
68,7,1.4,IR05,2,2017
69,31,2.5833333333333335,IR05,3,2017
70,2,2.0,IR05,4,2017
71,67,2.392857142857143,IR07,1,2015
72,96,2.0869565217391304,IR07,2,2015
73,146,2.433333333333333,IR07,3,2015
74,98,2.0416666666666665,IR07,4,2015
75,136,2.4727272727272727,IR07,1,2016
76,150,2.6785714285714284,IR07,2,2016
77,165,3.0,IR07,3,2016
78,179,3.086206896551724,IR07,4,2016
79,98,2.1777777777777776,IR07,1,2017
80,120,2.5531914893617023,IR07,2,2017
81,91,2.4594594594594597,IR07,3,2017
82,18,1.8,IR07,4,2017
83,43,2.6875,IR08,1,2015
84,41,1.64,IR08,2,2015
85,52,1.793103448275862,IR08,3,2015
86,68,2.193548387096774,IR08,4,2015
87,46,1.9166666666666667,IR08,1,2016
88,76,2.111111111111111,IR08,2,2016
89,101,2.6578947368421053,IR08,3,2016
90,86,2.4571428571428573,IR08,4,2016
91,49,1.8846153846153846,IR08,1,2017
92,48,2.0,IR08,2,2017
93,34,1.619047619047619,IR08,3,2017
94,3,1.0,IR08,4,2017
95,11,1.5714285714285714,IR09,1,2015
96,21,2.625,IR09,2,2015
97,20,1.4285714285714286,IR09,3,2015
98,15,1.5,IR09,4,2015
99,33,2.75,IR09,1,2016
100,18,1.5,IR09,2,2016
101,40,2.1052631578947367,IR09,3,2016
102,22,2.0,IR09,4,2016
103,14,2.0,IR09,1,2017
104,31,1.9375,IR09,2,2017
105,7,1.4,IR09,3,2017
106,3,1.5,IR10,1,2015
107,7,1.4,IR10,2,2015
108,22,2.2,IR10,3,2015
109,11,1.8333333333333333,IR10,4,2015
110,29,2.4166666666666665,IR10,1,2016
111,16,3.2,IR10,2,2016
112,12,1.3333333333333333,IR10,3,2016
113,19,2.7142857142857144,IR10,4,2016
114,8,1.6,IR10,1,2017
115,8,1.6,IR10,2,2017
116,8,1.6,IR10,3,2017
117,3,3.0,IR10,4,2017
118,25,2.5,IR11,1,2015
119,79,2.46875,IR11,2,2015
120,75,2.4193548387096775,IR11,3,2015
121,66,2.64,IR11,4,2015
122,104,2.6,IR11,1,2016
123,62,2.066666666666667,IR11,2,2016
124,111,2.522727272727273,IR11,3,2016
125,129,3.5833333333333335,IR11,4,2016
126,96,3.2,IR11,1,2017
127,31,1.9375,IR11,2,2017
128,29,1.45,IR11,3,2017
129,8,2.6666666666666665,IR11,4,2017
130,19,2.7142857142857144,IR13,1,2015
131,29,1.380952380952381,IR13,2,2015
132,43,1.72,IR13,3,2015
133,56,2.3333333333333335,IR13,4,2015
134,52,1.6774193548387097,IR13,1,2016
135,27,1.8,IR13,2,2016
136,119,3.606060606060606,IR13,3,2016
137,25,1.4705882352941178,IR13,4,2016
138,69,2.76,IR13,1,2017
139,92,3.4074074074074074,IR13,2,2017
140,35,1.4583333333333333,IR13,3,2017
141,8,1.3333333333333333,IR13,4,2017
142,71,2.1515151515151514,IR15,1,2015
143,240,3.4782608695652173,IR15,2,2015
144,180,2.903225806451613,IR15,3,2015
145,195,3.1451612903225805,IR15,4,2015
146,299,3.8333333333333335,IR15,1,2016
147,289,3.9054054054054053,IR15,2,2016
148,358,4.773333333333333,IR15,3,2016
149,242,3.5072463768115942,IR15,4,2016
150,175,2.9166666666666665,IR15,1,2017
151,160,2.711864406779661,IR15,2,2017
